Sentence,Sentiment,cleaned_text,encoded_sentiment,stematized_text,lemmatized_text
Imperial Tobacco Adds Quarterly Dividends After Profit Rose,positive,imperial tobacco adds quarterly dividends after profit rose,1,imperi tobacco add quarterli dividend after profit rose,imperial tobacco add quarterly dividend after profit rose
$NFLX +1% $104.80 LONG streaming services rapidly outpacing traditional cable,positive,nflx   long streaming services rapidly outpacing traditional cable,1,nflx long stream servic rapidli outpac tradit cabl,nflx long streaming service rapidly outpacing traditional cable
"However , the broker gave an `` outperform '' recommendation on the stock .",positive,however  the broker gave an  outperform  recommendation on the stock ,1,howev the broker gave an outperform recommend on the stock,however the broker gave an outperform recommendation on the stock
Airbus has 100 firm orders for the A350 and 89 nonbinding commitments .,positive,airbus has  firm orders for the a and  nonbinding commitments ,1,airbu ha firm order for the a and nonbind commit,airbus ha firm order for the a and nonbinding commitment
Double bottom with handle buy point of 56.49 $WMT http://chart.ly/ml857v3,positive,double bottom with handle buy point of  wmt httpchartlymlv,1,doubl bottom with handl buy point of wmt httpchartlymlv,double bottom with handle buy point of wmt httpchartlymlv
"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",positive,aspo plc stock exchange release february    at  am esl shipping ltd  part of aspo group  has signed a new  longterm contract with rautaruukki corporation for the marine transport of raw materials on the baltic sea ,1,aspo plc stock exchang releas februari at am esl ship ltd part of aspo group ha sign a new longterm contract with rautaruukki corpor for the marin transport of raw materi on the baltic sea,aspo plc stock exchange release february at am esl shipping ltd part of aspo group ha signed a new longterm contract with rautaruukki corporation for the marine transport of raw material on the baltic sea
UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,negative,update lloyds to cut  jobs as part of year restructuring plan,0,updat lloyd to cut job as part of year restructur plan,update lloyd to cut job a part of year restructuring plan
"`` After a long , unprofitable period the Food Division posted a profitable result , which speaks of a healthier cost structure and a new approach in business operations , '' Rihko said .",positive, after a long  unprofitable period the food division posted a profitable result  which speaks of a healthier cost structure and a new approach in business operations   rihko said ,1,after a long unprofit period the food divis post a profit result which speak of a healthier cost structur and a new approach in busi oper rihko said,after a long unprofitable period the food division posted a profitable result which speaks of a healthier cost structure and a new approach in business operation rihko said
$RIMM $spx $nya $compq $djia all going down,negative,rimm spx nya compq djia all going down,0,rimm spx nya compq djia all go down,rimm spx nya compq djia all going down
"9 September 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today its net sales rose by 2 % year-on-year to EUR5 .7 m in August 2010 , driven by growth in Finland , while demand in the Baltics remained weak .",positive, september   finnish stationery and gift retailer tiimari hel  tiiv said today its net sales rose by   yearonyear to eur  m in august   driven by growth in finland  while demand in the baltics remained weak ,1,septemb finnish stationeri and gift retail tiimari hel tiiv said today it net sale rose by yearonyear to eur m in august driven by growth in finland while demand in the baltic remain weak,september finnish stationery and gift retailer tiimari hel tiiv said today it net sale rose by yearonyear to eur m in august driven by growth in finland while demand in the baltic remained weak
"The OMX Nordic 40 ( OMXN40 ) index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed up 0.43 % at 1,138.84 points on Wednesday .",positive,the omx nordic   omxn  index  comprising the  most traded nordic stocks on the nasdaq omx exchange  closed up   at  points on wednesday ,1,the omx nordic omxn index compris the most trade nordic stock on the nasdaq omx exchang close up at point on wednesday,the omx nordic omxn index comprising the most traded nordic stock on the nasdaq omx exchange closed up at point on wednesday
CRH's concrete bid for Holcim Lafarge assets,positive,crhs concrete bid for holcim lafarge assets,1,crh concret bid for holcim lafarg asset,crhs concrete bid for holcim lafarge asset
Finnish Cargotec has been awarded a significant order for a total of 292 Hiab loader cranes by BAE Systems in the US .,positive,finnish cargotec has been awarded a significant order for a total of  hiab loader cranes by bae systems in the us ,1,finnish cargotec ha been award a signific order for a total of hiab loader crane by bae system in the us,finnish cargotec ha been awarded a significant order for a total of hiab loader crane by bae system in the u
The company expects its net sales for the whole 2009 to remain below the 2008 level .,negative,the company expects its net sales for the whole  to remain below the  level ,0,the compani expect it net sale for the whole to remain below the level,the company expects it net sale for the whole to remain below the level
"DJI overbought: $AAPL, $AXP, $BA, $CVX, $IBM, $INTC, $VZ https://t.co/wMy1PnomJF",negative,dji overbought aapl axp ba cvx ibm intc vz httpstcowmypnomjf,0,dji overbought aapl axp ba cvx ibm intc vz httpstcowmypnomjf,dji overbought aapl axp ba cvx ibm intc vz httpstcowmypnomjf
"`` We 're delighted with the move '' says Morna Cowie , co-owner , above , `` it 's double the size of our current shop and has a lovely feel to it . ''",positive, we re delighted with the move  says morna cowie  coowner  above   it s double the size of our current shop and has a lovely feel to it  ,1,we re delight with the move say morna cowi coowner abov it s doubl the size of our current shop and ha a love feel to it,we re delighted with the move say morna cowie coowner above it s double the size of our current shop and ha a lovely feel to it
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,positive,the agreement strengthens our longterm partnership with nokia siemens networks ,1,the agreement strengthen our longterm partnership with nokia siemen network,the agreement strengthens our longterm partnership with nokia siemens network
"The production capacity can be tripled without any major additional investments , the company said .",positive,the production capacity can be tripled without any major additional investments  the company said ,1,the product capac can be tripl without ani major addit invest the compani said,the production capacity can be tripled without any major additional investment the company said
SABMiller buys Meantime to quench thirst for craft beer,positive,sabmiller buys meantime to quench thirst for craft beer,1,sabmil buy meantim to quench thirst for craft beer,sabmiller buy meantime to quench thirst for craft beer
Finnish Outotec has been awarded a contract to supply a new zinc roaster with gas cleaning and sulphuric acid plant for the OZK Kardzhali zinc smelter in Bulgaria .,positive,finnish outotec has been awarded a contract to supply a new zinc roaster with gas cleaning and sulphuric acid plant for the ozk kardzhali zinc smelter in bulgaria ,1,finnish outotec ha been award a contract to suppli a new zinc roaster with ga clean and sulphur acid plant for the ozk kardzhali zinc smelter in bulgaria,finnish outotec ha been awarded a contract to supply a new zinc roaster with gas cleaning and sulphuric acid plant for the ozk kardzhali zinc smelter in bulgaria
"Pretax loss totalled EUR 49.9 mn , compared to a loss of EUR 15.4 mn in the corresponding period in 2008 .",negative,pretax loss totalled eur  mn  compared to a loss of eur  mn in the corresponding period in  ,0,pretax loss total eur mn compar to a loss of eur mn in the correspond period in,pretax loss totalled eur mn compared to a loss of eur mn in the corresponding period in
"The Vaisala Group is a successful international technology company that develops , manufactures and markets electronic measurement systems and products .",positive,the vaisala group is a successful international technology company that develops  manufactures and markets electronic measurement systems and products ,1,the vaisala group is a success intern technolog compani that develop manufactur and market electron measur system and product,the vaisala group is a successful international technology company that develops manufacture and market electronic measurement system and product
Valeant CEO Pledges to Heed Critics After `Painful' Experience,negative,valeant ceo pledges to heed critics after painful experience,0,valeant ceo pledg to heed critic after pain experi,valeant ceo pledge to heed critic after painful experience
Vacon 's cash flow from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago .,positive,vacon s cash flow from operations grew to eur  mn from eur  mn a year ago ,1,vacon s cash flow from oper grew to eur mn from eur mn a year ago,vacon s cash flow from operation grew to eur mn from eur mn a year ago
"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .",negative,sevenmonth sales of ragutis  which is controlled by the finnish brewery olvi  declined by  percent  to  million liters  and the company held  percent of the market ,0,sevenmonth sale of raguti which is control by the finnish breweri olvi declin by percent to million liter and the compani held percent of the market,sevenmonth sale of ragutis which is controlled by the finnish brewery olvi declined by percent to million liter and the company held percent of the market
These companies will be able to keep their market positions .,positive,these companies will be able to keep their market positions ,1,these compani will be abl to keep their market posit,these company will be able to keep their market position
"`` After this purchase , Cramo will become the second largest rental services provider in the Latvian market .",positive, after this purchase  cramo will become the second largest rental services provider in the latvian market ,1,after thi purchas cramo will becom the second largest rental servic provid in the latvian market,after this purchase cramo will become the second largest rental service provider in the latvian market
"Operating profit was EUR 11.07 mn , up from EUR 8.65 mn .",positive,operating profit was eur  mn  up from eur  mn ,1,oper profit wa eur mn up from eur mn,operating profit wa eur mn up from eur mn
The company now estimates its net sales in 2010 to increase considerably from 2009 and its operating result to be clearly positive .,positive,the company now estimates its net sales in  to increase considerably from  and its operating result to be clearly positive ,1,the compani now estim it net sale in to increas consider from and it oper result to be clearli posit,the company now estimate it net sale in to increase considerably from and it operating result to be clearly positive
$INTC finally some nice downside move... looking for the 31 handle to break,negative,intc finally some nice downside move looking for the  handle to break,0,intc final some nice downsid move look for the handl to break,intc finally some nice downside move looking for the handle to break
"Efore 's presence here also opens up new and interesting development opportunities for our students , '' the dean of the Faculty of Electronics , Communications and Automation at TKK said .",positive,efore s presence here also opens up new and interesting development opportunities for our students   the dean of the faculty of electronics  communications and automation at tkk said ,1,efor s presenc here also open up new and interest develop opportun for our student the dean of the faculti of electron commun and autom at tkk said,efore s presence here also open up new and interesting development opportunity for our student the dean of the faculty of electronics communication and automation at tkk said
@NASDboy I think the DNF crew can get this $NFLX short into the next 30 days heading into earnings,negative,nasdboy i think the dnf crew can get this nflx short into the next  days heading into earnings,0,nasdboy i think the dnf crew can get thi nflx short into the next day head into earn,nasdboy i think the dnf crew can get this nflx short into the next day heading into earnings
London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse,positive,london stock exchange seals â billion merger with germanys deutsche bãrse,1,london stock exchang seal â billion merger with germani deutsch bãrse,london stock exchange seal â billion merger with germany deutsche bãrse
Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .,positive,diluted earnings per share  eps  rose to eur  versus eur  ,1,dilut earn per share ep rose to eur versu eur,diluted earnings per share eps rose to eur versus eur
Prices and delivery volumes of broadband products decreased significantly in 2005 .,negative,prices and delivery volumes of broadband products decreased significantly in  ,0,price and deliveri volum of broadband product decreas significantli in,price and delivery volume of broadband product decreased significantly in
LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,positive,london morning briefing hsbc and standard chartered shares rise,1,london morn brief hsbc and standard charter share rise,london morning briefing hsbc and standard chartered share rise
@Dojiknows th SP and the potential of QNX BES10 and BBM  cross platform will bring good news in time $bbry,positive,dojiknows th sp and the potential of qnx bes and bbm  cross platform will bring good news in time bbry,1,dojiknow th sp and the potenti of qnx be and bbm cross platform will bring good news in time bbri,dojiknows th sp and the potential of qnx be and bbm cross platform will bring good news in time bbry
"`` There 's the issue of thieves stealing them from building sites , '' said Mr Smith .",negative, there s the issue of thieves stealing them from building sites   said mr smith ,0,there s the issu of thiev steal them from build site said mr smith,there s the issue of thief stealing them from building site said mr smith
`` The Government has had a very professional approach in assessing the offer .,positive, the government has had a very professional approach in assessing the offer ,1,the govern ha had a veri profession approach in assess the offer,the government ha had a very professional approach in assessing the offer
Travis Perkins Hikes Dividend 20% As Profit And Revenue Rise,positive,travis perkins hikes dividend  as profit and revenue rise,1,travi perkin hike dividend as profit and revenu rise,travis perkins hike dividend a profit and revenue rise
"In the fourth quarter of 2009 , Orion 's net profit went up by 33.8 % year-on-year to EUR33m .",positive,in the fourth quarter of   orion s net profit went up by   yearonyear to eurm ,1,in the fourth quarter of orion s net profit went up by yearonyear to eurm,in the fourth quarter of orion s net profit went up by yearonyear to eurm
Outotec 's net profit for the second quarter of 2007 jumped to 16.8 mln euro ( $ 23.1 mln ) from 4.6 mln euro ( $ 6.3 mln ) a year ago .,positive,outotec s net profit for the second quarter of  jumped to  mln euro    mln  from  mln euro    mln  a year ago ,1,outotec s net profit for the second quarter of jump to mln euro mln from mln euro mln a year ago,outotec s net profit for the second quarter of jumped to mln euro mln from mln euro mln a year ago
"Since the association 's data do not cover sales figures from about 100 small local breweries and sales of imported beer products , the actual market shares of its members are smaller than those given in the report .",negative,since the association s data do not cover sales figures from about  small local breweries and sales of imported beer products  the actual market shares of its members are smaller than those given in the report ,0,sinc the associ s data do not cover sale figur from about small local breweri and sale of import beer product the actual market share of it member are smaller than those given in the report,since the association s data do not cover sale figure from about small local brewery and sale of imported beer product the actual market share of it member are smaller than those given in the report
Altia 's operating profit jumped to EUR 47 million from EUR 6.6 million .,positive,altia s operating profit jumped to eur  million from eur  million ,1,altia s oper profit jump to eur million from eur million,altia s operating profit jumped to eur million from eur million
$fb small long 109.25 via calls,positive,fb small long  via calls,1,fb small long via call,fb small long via call
"Again , the most significant sales increase of 18.6 % was in Russia .",positive,again  the most significant sales increase of   was in russia ,1,again the most signific sale increas of wa in russia,again the most significant sale increase of wa in russia
G4S slides on balance sheet worries,negative,gs slides on balance sheet worries,0,gs slide on balanc sheet worri,g slide on balance sheet worry
"2010 16 July 2010 - Finnish steel maker Rautaruukki Oyj HEL : RTRKS , or Ruukki , said today it turned to a net profit of EUR20m in the second quarter of 2010 from a net loss of EUR94m in the corresponding period last year .",positive,  july   finnish steel maker rautaruukki oyj hel  rtrks  or ruukki  said today it turned to a net profit of eurm in the second quarter of  from a net loss of eurm in the corresponding period last year ,1,juli finnish steel maker rautaruukki oyj hel rtrk or ruukki said today it turn to a net profit of eurm in the second quarter of from a net loss of eurm in the correspond period last year,july finnish steel maker rautaruukki oyj hel rtrks or ruukki said today it turned to a net profit of eurm in the second quarter of from a net loss of eurm in the corresponding period last year
Operating profit rose to EUR 3.2 mn from EUR 1.0 mn in the corresponding period in 2008 .,positive,operating profit rose to eur  mn from eur  mn in the corresponding period in  ,1,oper profit rose to eur mn from eur mn in the correspond period in,operating profit rose to eur mn from eur mn in the corresponding period in
Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter,positive,merged lse and deutsche bãrse would be led by germanys kengeter,1,merg lse and deutsch bãrse would be led by germani kenget,merged lse and deutsche bãrse would be led by germany kengeter
"The total delivery volume of paper businesses in 2010 was 1,155,000 tonnes , up from 1,132,000 tonnes in 2009 .",positive,the total delivery volume of paper businesses in  was  tonnes  up from  tonnes in  ,1,the total deliveri volum of paper busi in wa tonn up from tonn in,the total delivery volume of paper business in wa tonne up from tonne in
"With the acquisition , the company will expand its offering to North , Central and South America , it said .",positive,with the acquisition  the company will expand its offering to north  central and south america  it said ,1,with the acquisit the compani will expand it offer to north central and south america it said,with the acquisition the company will expand it offering to north central and south america it said
"At the same time , sales development in Russia was boosted by the opening of Stockmann Nevsky Centre in St Petersburg .",positive,at the same time  sales development in russia was boosted by the opening of stockmann nevsky centre in st petersburg ,1,at the same time sale develop in russia wa boost by the open of stockmann nevski centr in st petersburg,at the same time sale development in russia wa boosted by the opening of stockmann nevsky centre in st petersburg
RBS chairman admits surprise at size of regulatory penalties,negative,rbs chairman admits surprise at size of regulatory penalties,0,rb chairman admit surpris at size of regulatori penalti,rb chairman admits surprise at size of regulatory penalty
Petrofac books further Â£30m cost for Shetland gas terminal delays,negative,petrofac books further âm cost for shetland gas terminal delays,0,petrofac book further âm cost for shetland ga termin delay,petrofac book further âm cost for shetland gas terminal delay
"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",positive,the agreement was signed with biohit healthcare ltd  the ukbased subsidiary of biohit oyj  a finnish public company which develops  manufactures and markets liquid handling products and diagnostic test systems ,1,the agreement wa sign with biohit healthcar ltd the ukbas subsidiari of biohit oyj a finnish public compani which develop manufactur and market liquid handl product and diagnost test system,the agreement wa signed with biohit healthcare ltd the ukbased subsidiary of biohit oyj a finnish public company which develops manufacture and market liquid handling product and diagnostic test system
Finland 's Poyry Energy has won a contract to advise builders of a new cogeneration power plant in Lithuania 's second-biggest city of Kaunas and to supervise the construction process .,positive,finland s poyry energy has won a contract to advise builders of a new cogeneration power plant in lithuania s secondbiggest city of kaunas and to supervise the construction process ,1,finland s poyri energi ha won a contract to advis builder of a new cogener power plant in lithuania s secondbiggest citi of kauna and to supervis the construct process,finland s poyry energy ha won a contract to advise builder of a new cogeneration power plant in lithuania s secondbiggest city of kaunas and to supervise the construction process
"@Dlerch LOL! $FMCN back under $17, darn those shorts! No chit Sherlock!",negative,dlerch lol fmcn back under  darn those shorts no chit sherlock,0,dlerch lol fmcn back under darn those short no chit sherlock,dlerch lol fmcn back under darn those short no chit sherlock
"Also, BMO had just initiated $incy with an outperform yesterday, while several other firms all reiterated buy ratings.",positive,also bmo had just initiated incy with an outperform yesterday while several other firms all reiterated buy ratings,1,also bmo had just initi inci with an outperform yesterday while sever other firm all reiter buy rate,also bmo had just initiated incy with an outperform yesterday while several other firm all reiterated buy rating
"EPS from continuing operations came in at 0.30 eur , up from 0.17 .",positive,eps from continuing operations came in at  eur  up from  ,1,ep from continu oper came in at eur up from,eps from continuing operation came in at eur up from
"When open next year , it will be the largest facility in the world to produce diesel fuel from renewable feedstock such as palm oil and animal fat .",positive,when open next year  it will be the largest facility in the world to produce diesel fuel from renewable feedstock such as palm oil and animal fat ,1,when open next year it will be the largest facil in the world to produc diesel fuel from renew feedstock such as palm oil and anim fat,when open next year it will be the largest facility in the world to produce diesel fuel from renewable feedstock such a palm oil and animal fat
"European stocks hover near 3-week low, Dialog and BHP slump",negative,european stocks hover near week low dialog and bhp slump,0,european stock hover near week low dialog and bhp slump,european stock hover near week low dialog and bhp slump
"The company said that its investments in the new market areas resulted in sales increase in Sweden , Poland , Russia and Lithuania .",positive,the company said that its investments in the new market areas resulted in sales increase in sweden  poland  russia and lithuania ,1,the compani said that it invest in the new market area result in sale increas in sweden poland russia and lithuania,the company said that it investment in the new market area resulted in sale increase in sweden poland russia and lithuania
"Operating profit was EUR -0.1 mn , down from EUR 1.3 mn .",negative,operating profit was eur  mn  down from eur  mn ,0,oper profit wa eur mn down from eur mn,operating profit wa eur mn down from eur mn
"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .",negative,as part of the reorganisation measures that will take place in spring   tamglass finton will start personnel negotiations that will affect its entire staff of  ,0,as part of the reorganis measur that will take place in spring tamglass finton will start personnel negoti that will affect it entir staff of,a part of the reorganisation measure that will take place in spring tamglass finton will start personnel negotiation that will affect it entire staff of
$YELP This goes green and so many shorts are toast!,positive,yelp this goes green and so many shorts are toast,1,yelp thi goe green and so mani short are toast,yelp this go green and so many short are toast
"YIT 's Baltic sales in the first three quarters of 2008 totaled 106.2 million euros , representing a drop of 29 percent year on year .",negative,yit s baltic sales in the first three quarters of  totaled  million euros  representing a drop of  percent year on year ,0,yit s baltic sale in the first three quarter of total million euro repres a drop of percent year on year,yit s baltic sale in the first three quarter of totaled million euro representing a drop of percent year on year
VIVUS $VVUS bear raid in effect. Stock down 12%,negative,vivus vvus bear raid in effect stock down ,0,vivu vvu bear raid in effect stock down,vivus vvus bear raid in effect stock down
"Red Daily Triangle on $SHOR,...Scaling Up on Long Position http://stks.co/r82S",positive,red daily triangle on shorscaling up on long position httpstkscors,1,red daili triangl on shorscal up on long posit httpstkscor,red daily triangle on shorscaling up on long position httpstkscors
"The 50-50 joint venture , to be called Nokia Siemens Networks , will be comprised of Nokia 's network business group and Siemens ' carrier-related operations , creating estimated synergies of 1.5 billion euros ( $ 1.9 billion ) by 2010 , Nokia said .",positive,the  joint venture  to be called nokia siemens networks  will be comprised of nokia s network business group and siemens  carrierrelated operations  creating estimated synergies of  billion euros    billion  by   nokia said ,1,the joint ventur to be call nokia siemen network will be compris of nokia s network busi group and siemen carrierrel oper creat estim synergi of billion euro billion by nokia said,the joint venture to be called nokia siemens network will be comprised of nokia s network business group and siemens carrierrelated operation creating estimated synergy of billion euro billion by nokia said
Tesco shareholders back ITV head for chairman,positive,tesco shareholders back itv head for chairman,1,tesco sharehold back itv head for chairman,tesco shareholder back itv head for chairman
"$KNDI Break that HOD on volume, and we have a nice consolidation completed for another run.",positive,kndi break that hod on volume and we have a nice consolidation completed for another run,1,kndi break that hod on volum and we have a nice consolid complet for anoth run,kndi break that hod on volume and we have a nice consolidation completed for another run
"The developers of that project predict that once it is completed in April 2009 , Skanssi will attract some 4.5 million visitors annually .",positive,the developers of that project predict that once it is completed in april   skanssi will attract some  million visitors annually ,1,the develop of that project predict that onc it is complet in april skanssi will attract some million visitor annual,the developer of that project predict that once it is completed in april skanssi will attract some million visitor annually
"The operating loss amounted to EUR 0.8 mn , compared to a profit of EUR 3.9 mn a year earlier .",negative,the operating loss amounted to eur  mn  compared to a profit of eur  mn a year earlier ,0,the oper loss amount to eur mn compar to a profit of eur mn a year earlier,the operating loss amounted to eur mn compared to a profit of eur mn a year earlier
18 March 2010 A leakage in the gypsum pond was detected today at the Talvivaara mine .,negative, march  a leakage in the gypsum pond was detected today at the talvivaara mine ,0,march a leakag in the gypsum pond wa detect today at the talvivaara mine,march a leakage in the gypsum pond wa detected today at the talvivaara mine
"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/xDGrAExkKz",negative,tesla motors recalls  model x suvs tsla httpstcoxdgraexkkz,0,tesla motor recal model x suv tsla httpstcoxdgraexkkz,tesla motor recall model x suv tsla httpstcoxdgraexkkz
"Finnish flexible packaging manufacturer Suominen Corporation reports net sales of EUR 54.5 mn in the first quarter of 2008 , compared with EUR 54.3 mn a year earlier .",positive,finnish flexible packaging manufacturer suominen corporation reports net sales of eur  mn in the first quarter of   compared with eur  mn a year earlier ,1,finnish flexibl packag manufactur suominen corpor report net sale of eur mn in the first quarter of compar with eur mn a year earlier,finnish flexible packaging manufacturer suominen corporation report net sale of eur mn in the first quarter of compared with eur mn a year earlier
"$amzn 4 period RSI is down at 20, just read Connors book on trading strategies",positive,amzn  period rsi is down at  just read connors book on trading strategies,1,amzn period rsi is down at just read connor book on trade strategi,amzn period rsi is down at just read connors book on trading strategy
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",positive,net income from life insurance rose to eur  mn from eur  mn  and net income from nonlife insurance to eur  mn from eur  mn in  ,1,net incom from life insur rose to eur mn from eur mn and net incom from nonlif insur to eur mn from eur mn in,net income from life insurance rose to eur mn from eur mn and net income from nonlife insurance to eur mn from eur mn in
Can Christmas Save Sainsbury's plc And Tesco plc?,negative,can christmas save sainsburys plc and tesco plc,0,can christma save sainsburi plc and tesco plc,can christmas save sainsburys plc and tesco plc
`` Our customer has been satisfied with Basware Invoice Automation solution and extends the implementation to new geographies .,positive, our customer has been satisfied with basware invoice automation solution and extends the implementation to new geographies ,1,our custom ha been satisfi with baswar invoic autom solut and extend the implement to new geographi,our customer ha been satisfied with basware invoice automation solution and extends the implementation to new geography
The growth of net sales has continued favourably in the Middle East and Africaand in Asia Pacific .,positive,the growth of net sales has continued favourably in the middle east and africaand in asia pacific ,1,the growth of net sale ha continu favour in the middl east and africaand in asia pacif,the growth of net sale ha continued favourably in the middle east and africaand in asia pacific
$AMCN pushing highs,positive,amcn pushing highs,1,amcn push high,amcn pushing high
"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",positive,both operating profit and net sales for the month period increased  respectively from eur  m and eur  m  as compared to the financial year  ,1,both oper profit and net sale for the month period increas respect from eur m and eur m as compar to the financi year,both operating profit and net sale for the month period increased respectively from eur m and eur m a compared to the financial year
"Key shareholders of Finnish IT services provider TietoEnator Oyj on Friday rejected a hostile EUR1 .08 billion $ 1.67 billion offer from buyout shop Nordic Capital , giving new life to a possible counter offer from Blackstone Group LP and Norwegian telecom Telenor ASA .",positive,key shareholders of finnish it services provider tietoenator oyj on friday rejected a hostile eur  billion   billion offer from buyout shop nordic capital  giving new life to a possible counter offer from blackstone group lp and norwegian telecom telenor asa ,1,key sharehold of finnish it servic provid tietoen oyj on friday reject a hostil eur billion billion offer from buyout shop nordic capit give new life to a possibl counter offer from blackston group lp and norwegian telecom telenor asa,key shareholder of finnish it service provider tietoenator oyj on friday rejected a hostile eur billion billion offer from buyout shop nordic capital giving new life to a possible counter offer from blackstone group lp and norwegian telecom telenor asa
$AAPL wants lower. up waves getting smaller on the 2 min,negative,aapl wants lower up waves getting smaller on the  min,0,aapl want lower up wave get smaller on the min,aapl want lower up wave getting smaller on the min
Tesco sells Blinkbox and broadband service to TalkTalk,positive,tesco sells blinkbox and broadband service to talktalk,1,tesco sell blinkbox and broadband servic to talktalk,tesco sell blinkbox and broadband service to talktalk
"- Demand for fireplace products was lower than expected , especially in Germany .",negative, demand for fireplace products was lower than expected  especially in germany ,0,demand for fireplac product wa lower than expect especi in germani,demand for fireplace product wa lower than expected especially in germany
Nasdaq Sets Up for Breakout Part II | via @AllStarCharts http://stks.co/15Nv  $GOOG $AMZN $QCOM,positive,nasdaq sets up for breakout part ii  via allstarcharts httpstksconv  goog amzn qcom,1,nasdaq set up for breakout part ii via allstarchart httpstksconv goog amzn qcom,nasdaq set up for breakout part ii via allstarcharts httpstksconv goog amzn qcom
The aim is an annual improvement in Ruukki Construction 's operating profit of more than EUR 3 million USD 4.1 m starting in 2009 .,positive,the aim is an annual improvement in ruukki construction s operating profit of more than eur  million usd  m starting in  ,1,the aim is an annual improv in ruukki construct s oper profit of more than eur million usd m start in,the aim is an annual improvement in ruukki construction s operating profit of more than eur million usd m starting in
"UK housing market steadies after Brexit dip, Persimmon says",positive,uk housing market steadies after brexit dip persimmon says,1,uk hous market steadi after brexit dip persimmon say,uk housing market steady after brexit dip persimmon say
"After the transaction , Alma Media raised its stake in Talentum to 30.65 % of the shares and some 31.12 % of voting rights .",positive,after the transaction  alma media raised its stake in talentum to   of the shares and some   of voting rights ,1,after the transact alma media rais it stake in talentum to of the share and some of vote right,after the transaction alma medium raised it stake in talentum to of the share and some of voting right
"In food trade , sales amounted to EUR320 .1 m , a decline of 1.1 % .",negative,in food trade  sales amounted to eur  m  a decline of   ,0,in food trade sale amount to eur m a declin of,in food trade sale amounted to eur m a decline of
Why I'd Buy ARM Holdings plc And BHP Billiton plc Today,positive,why id buy arm holdings plc and bhp billiton plc today,1,whi id buy arm hold plc and bhp billiton plc today,why id buy arm holding plc and bhp billiton plc today
$AAPL http://stks.co/1LDx Clearing this descending trend line / buy area now,positive,aapl httpstkscoldx clearing this descending trend line  buy area now,1,aapl httpstkscoldx clear thi descend trend line buy area now,aapl httpstkscoldx clearing this descending trend line buy area now
Novartis buys remaining rights to GSK treatment in deal up to $1 billion,positive,novartis buys remaining rights to gsk treatment in deal up to  billion,1,novarti buy remain right to gsk treatment in deal up to billion,novartis buy remaining right to gsk treatment in deal up to billion
"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",positive,lifetree was founded in   and its revenues have risen on an average by   with margins in late s ,1,lifetre wa found in and it revenu have risen on an averag by with margin in late s,lifetree wa founded in and it revenue have risen on an average by with margin in late s
"Handelsbanken ranked before Local Cooperative Banks and Aktia in customer loyalty this time too , however .",positive,handelsbanken ranked before local cooperative banks and aktia in customer loyalty this time too  however ,1,handelsbanken rank befor local cooper bank and aktia in custom loyalti thi time too howev,handelsbanken ranked before local cooperative bank and aktia in customer loyalty this time too however
"Net sales of Kyro 's main business area , Glaston Technologies , a manufacturer of glass processing machines , decreased to EUR 161.5 mn from EUR 164.1 mn in January-September 2005 .",negative,net sales of kyro s main business area  glaston technologies  a manufacturer of glass processing machines  decreased to eur  mn from eur  mn in januaryseptember  ,0,net sale of kyro s main busi area glaston technolog a manufactur of glass process machin decreas to eur mn from eur mn in januaryseptemb,net sale of kyro s main business area glaston technology a manufacturer of glass processing machine decreased to eur mn from eur mn in januaryseptember
@Renatta @Fr0van @kjepeneter @RPTL  Strong close 4 $PLNR  coming,positive,renatta frvan kjepeneter rptl  strong close  plnr  coming,1,renatta frvan kjepenet rptl strong close plnr come,renatta frvan kjepeneter rptl strong close plnr coming
